INSERT INTO students (student_id, full_name, dob, gender, class, email, phone) VALUES ('B20DCCN100', 'Chị Ngọc Mai', '2006-07-13', 'Nam', 'D20CQCN01', 'MaiCN.B20CN100@stu.ptit.edu.vn', '00 3508 1811');
INSERT INTO students (student_id, full_name, dob, gender, class, email, phone) VALUES ('B20DCCN101', 'Bác Châu Dương', '2004-11-03', 'Nam', 'D20CQCN01', 'DuongBC.B20CN101@stu.ptit.edu.vn', '(00) 0387 7250');
INSERT INTO students (student_id, full_name, dob, gender, class, email, phone) VALUES ('B20DCCN102', 'Bà Hương Vũ', '2004-05-07', 'Nam', 'D20CQCN01', 'VuBH.B20CN102@stu.ptit.edu.vn', '(05) 3817 4436');
INSERT INTO students (student_id, full_name, dob, gender, class, email, phone) VALUES ('B20DCCN103', 'Chị Dương Bùi', '2005-01-18', 'Nam', 'D20CQCN01', 'BuiCD.B20CN103@stu.ptit.edu.vn', '04 3533616');
INSERT INTO students (student_id, full_name, dob, gender, class, email, phone) VALUES ('B20DCCN104', 'Vũ Phú Bùi', '2006-10-10', 'Nữ', 'D20CQCN01', 'BuiVP.B20CN104@stu.ptit.edu.vn', '00 5231 4444');
INSERT INTO students (student_id, full_name, dob, gender, class, email, phone) VALUES ('B20DCCN105', 'Lâm Văn Nguyễn', '2004-08-30', 'Nữ', 'D20CQCN01', 'NguyenLV.B20CN105@stu.ptit.edu.vn', '06 7799790');
INSERT INTO students (student_id, full_name, dob, gender, class, email, phone) VALUES ('B20DCCN106', 'Cô Vi Mai', '2005-09-20', 'Nữ', 'D20CQCN01', 'MaiCV.B20CN106@stu.ptit.edu.vn', '(04)347-0522');
INSERT INTO students (student_id, full_name, dob, gender, class, email, phone) VALUES ('B20DCCN107', 'Nhật Văn Đặng', '2006-07-30', 'Nữ', 'D20CQCN01', 'DangNV.B20CN107@stu.ptit.edu.vn', '01 9738778');
INSERT INTO students (student_id, full_name, dob, gender, class, email, phone) VALUES ('B20DCCN108', 'Ông Hưng Bùi', '2005-04-30', 'Nam', 'D20CQCN01', 'BuiÔH.B20CN108@stu.ptit.edu.vn', '05 9231 6471');
INSERT INTO students (student_id, full_name, dob, gender, class, email, phone) VALUES ('B20DCCN109', 'Cô Kim Lê', '2002-10-26', 'Nam', 'D20CQCN01', 'LeCK.B20CN109@stu.ptit.edu.vn', '+84-65-041600');
INSERT INTO students (student_id, full_name, dob, gender, class, email, phone) VALUES ('B20DCAT100', 'Bà Hạnh Hoàng', '2006-10-20', 'Nam', 'D20CQAT01', 'HoangBH.B20AT100@stu.ptit.edu.vn', '(01) 0987 2693');
INSERT INTO students (student_id, full_name, dob, gender, class, email, phone) VALUES ('B20DCAT101', 'Kim Tấn Đặng', '2004-02-21', 'Nam', 'D20CQAT01', 'DangKT.B20AT101@stu.ptit.edu.vn', '(00) 8441 8392');
INSERT INTO students (student_id, full_name, dob, gender, class, email, phone) VALUES ('B20DCAT102', 'An Bảo Bùi', '2003-07-09', 'Nam', 'D20CQAT01', 'BuiAB.B20AT102@stu.ptit.edu.vn', '09 8632632');
INSERT INTO students (student_id, full_name, dob, gender, class, email, phone) VALUES ('B20DCAT103', 'Ông Hưng Bùi', '2002-07-29', 'Nam', 'D20CQAT01', 'BuiÔH.B20AT103@stu.ptit.edu.vn', '(01)426-1851');
INSERT INTO students (student_id, full_name, dob, gender, class, email, phone) VALUES ('B20DCAT104', 'Anh Châu Hoàng', '2006-01-03', 'Nữ', 'D20CQAT01', 'HoangAC.B20AT104@stu.ptit.edu.vn', '+84-95-522 4935');
INSERT INTO students (student_id, full_name, dob, gender, class, email, phone) VALUES ('B20DCAT105', 'Hạnh Mai Lê', '2004-10-05', 'Nam', 'D20CQAT01', 'LeHM.B20AT105@stu.ptit.edu.vn', '05 6697 1773');
INSERT INTO students (student_id, full_name, dob, gender, class, email, phone) VALUES ('B20DCAT106', 'Bác Thành Vũ', '2007-02-16', 'Nữ', 'D20CQAT01', 'VuBT.B20AT106@stu.ptit.edu.vn', '+84-14-354 2567');
INSERT INTO students (student_id, full_name, dob, gender, class, email, phone) VALUES ('B20DCAT107', 'Nhiên Bảo Bùi', '2004-10-22', 'Nam', 'D20CQAT01', 'BuiNB.B20AT107@stu.ptit.edu.vn', '+84 14 3985863');
INSERT INTO students (student_id, full_name, dob, gender, class, email, phone) VALUES ('B20DCAT108', 'Quang Trí Nguyễn', '2004-08-24', 'Nữ', 'D20CQAT01', 'NguyenQT.B20AT108@stu.ptit.edu.vn', '(08) 0872 7785');
